date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2024-11-27T09:59:35+0800,603596,sell,CNY,伯特利,stock,42.710,2500,0,0,,,603596
2024-11-25T09:32:09+0800,588200,buy,CNY,科创芯片ETF,ETF,1.406,9100,0,0,,,588200
2024-11-20T11:26:24+0800,600506,sell,CNY,统一股份,stock,14.930,800,0,0,,,600506
2024-11-19T09:43:45+0800,600506,buy,CNY,统一股份,stock,13.520,800,0,0,,,600506
2024-11-19T09:42:39+0800,002456,buy,CNY,欧菲光,stock,15.160,500,0,0,,,002456
2024-11-19T09:33:52+0800,002456,sell,CNY,欧菲光,stock,14.800,500,0,0,,,002456
2024-11-18T11:13:41+0800,001309,buy,CNY,德明利,stock,82.230,200,0,0,,,001309
2024-11-18T09:37:34+0800,603598,sell,CNY,引力传媒,stock,14.620,700,0,0,,,603598
2024-11-12T14:09:53+0800,601628,sell,CNY,中国人寿,stock,45.497,300,0,0,,,601628
2024-11-12T10:14:46+0800,603596,buy,CNY,伯特利,stock,52.430,800,0,0,,,603596
2024-11-11T09:35:49+0800,002456,buy,CNY,欧菲光,stock,16.700,500,0,0,,,002456
2024-11-11T09:31:30+0800,603596,buy,CNY,伯特利,stock,50.670,500,0,0,,,603596
2024-11-08T10:19:53+0800,603598,buy,CNY,引力传媒,stock,15.800,700,0,0,,,603598
2024-11-08T10:07:02+0800,603596,buy,CNY,伯特利,stock,50.760,1000,0,0,,,603596
2024-11-08T10:03:47+0800,601628,buy,CNY,中国人寿,stock,49.330,100,0,0,,,601628
2024-11-08T09:50:34+0800,601628,buy,CNY,中国人寿,stock,49.600,100,0,0,,,601628
2024-11-08T09:50:05+0800,601628,buy,CNY,中国人寿,stock,49.430,100,0,0,,,601628
2024-11-08T09:47:39+0800,603596,buy,CNY,伯特利,stock,50.830,200,0,0,,,603596
2024-11-06T15:00:00+0800,799999,assignment,CNY,指定登记,special,0,1,0,0,,,799999
